"x"
34.24004
35.55765
37.18582
39.17273
41.86443
43.84331
44.325
45.63994
45.96379
35.48942
37.75755
40.72709
40.32781
43.5608
46.29063
46.33105
49.802
50.99726
36.84041
38.62544
40.39566
42.32127
48.91971
44.84298
45.44674
48.16091
48.69803
35.19303
38.55418
39.71774
40.85266
42.30739
43.16674
45.2322
48.22103
46.53953
34.62464
37.08462
39.61713
49.70988
40.41068
45.73129
43.4014
47.03147
54.95143
