"x"
15.2113
33.1122
53.0447
64.6712
81.9885
13.6142
29.0994
45.8661
60.8576
80.5110
13.9435
29.5838
45.2280
61.7057
80.4896
14.0715
29.3441
45.8683
62.2935
79.6540
14.4618
29.1246
45.1767
62.6359
84.5971
